Anzahl von Prozessen;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
1;12.718592;12.972784;12.660801;12.729714;13.350023;14.038362;14.191852;14.231280;12.810450;12.694849;12.743004;12.696569;12.639758;12.309081;12.641101;12.687040;12.684106;12.553547;13.062577;12.849656;12.531670;12.864903;12.561895;12.430724;12.543971;12.217855;12.566447;12.603684;12.725617;13.018034;12.610179;12.918663;12.775850;12.933505;12.842660;13.047059;13.064382;12.948624;12.835296;12.673077;12.388259;12.948370;12.789173;12.464789;12.756175;12.840408;12.551848;13.052729;12.611726;13.018724;12.828029
2;9.829389;9.659951;9.725885;9.864295;9.828577;9.865493;9.547008;9.692853;9.430161;9.462170;9.647585;9.717357;9.583174;9.770951;9.708441;9.779960;9.783870;9.747975;9.850207;9.820736;9.906629;9.738827;9.956937;9.652094;9.763353;9.432733;9.790096;9.666037;9.881558;9.911894;9.680687;9.463276;9.550137;9.643693;9.830004;9.527218;9.761727;9.511584;9.910152;9.857999;9.971350;9.763698;9.671725;9.783013;9.523303;9.611918;9.411208;9.531366;9.858647;9.860337;9.714785
3;7.387696;7.201772;7.487847;7.399682;7.523214;7.328837;7.314921;7.393067;7.207348;7.426830;7.290779;7.229900;7.461059;7.281365;7.480664;7.129427;7.214755;8.065145;7.917376;7.421927;7.331928;7.322969;7.381912;7.607192;7.290216;7.313770;7.529471;7.277336;7.472668;7.403530;7.340574;7.333299;7.400130;7.314421;7.396924;7.381296;7.448192;7.443533;7.467375;7.361626;7.557579;7.448987;7.338732;7.323267;7.109584;7.499282;7.270140;7.439133;7.502624;7.237322;7.394172
4;5.848381;5.893421;5.930102;5.759367;5.796600;5.756443;5.863991;5.882247;5.905178;5.909478;5.823220;5.707472;5.784667;5.887881;5.824982;5.740780;5.885041;5.676073;5.717987;5.850034;5.926747;5.755282;5.820686;5.810043;5.858889;5.818613;5.873471;5.895784;5.904963;5.758276;5.709294;5.890795;5.786289;5.851139;5.730842;5.696776;5.719050;5.744038;5.894886;5.841765;5.769345;5.793231;5.909613;5.816231;5.813225;5.792918;5.763779;5.832870;5.773102;5.797429;5.815854
5;4.966612;5.030311;5.075464;4.881193;5.003835;4.880850;5.007165;4.882121;5.022999;5.055999;4.943536;5.196450;5.205183;4.938607;4.906759;5.069538;4.962775;4.867090;5.045736;4.882370;4.969458;4.969028;4.979752;4.945301;5.007444;5.018654;4.960417;4.948940;5.018842;4.953743;4.995186;5.005147;5.039906;5.111351;5.145181;5.001378;5.091041;4.882891;4.973175;5.247231;5.106960;5.070649;4.861063;5.016100;5.045570;4.995597;5.146895;4.944202;4.969642;4.989359;5.004694
6;4.375502;4.887111;4.774485;5.160674;5.076125;5.015309;4.755373;5.310923;5.598448;4.721142;4.708426;4.599367;4.419998;4.606209;4.394891;4.313942;4.490854;4.581712;4.605366;4.397272;4.314563;4.289084;4.428132;4.547417;4.399735;4.440182;4.597555;4.496304;4.619934;4.434617;4.510084;4.450340;4.755931;4.399343;4.385474;4.431653;4.541000;4.579820;4.373886;4.400138;4.296323;4.367598;4.383764;4.430464;4.392832;4.489908;4.440494;4.458096;4.369456;4.403710;4.564419
7;4.169098;4.038252;4.209596;4.110893;4.142438;4.189556;4.075813;4.142065;4.254991;4.314422;4.215432;4.095755;4.015382;4.285737;4.281582;4.234802;4.272526;4.021053;4.214971;4.146751;4.186611;4.304549;4.490459;4.135327;4.141312;4.344243;4.401401;4.114371;4.127086;4.351419;4.242076;4.221731;4.160159;4.070857;4.077409;4.372081;4.275398;4.246852;4.358294;4.119550;4.428526;4.177872;3.999475;4.656022;4.871960;4.998114;4.485878;4.021546;4.038553;4.157579;4.240157
8;4.144845;3.920432;3.984020;3.904906;3.892796;4.025254;3.968620;3.981442;4.106771;3.915247;3.951762;4.133245;4.089712;3.928644;3.952880;4.177431;4.006176;4.046602;3.905704;4.310267;4.214865;4.022175;3.846864;4.083642;4.030713;4.063743;3.758877;3.925712;4.227978;3.887144;4.091484;4.096900;4.073807;3.941229;3.945232;3.926141;3.982399;4.063325;3.776174;4.049387;4.044289;3.954261;3.983250;3.853522;4.084837;3.868723;4.063603;3.837661;4.202025;4.042062;4.005776
9;3.848713;3.880877;3.913571;3.882076;4.002442;3.773931;3.789409;3.890828;3.740116;3.749381;3.958417;3.869653;4.045035;3.818180;3.993846;3.829519;3.751634;3.880372;3.862539;3.809273;3.895561;3.688863;3.862414;3.889701;3.635510;3.856376;4.079410;3.850484;4.007557;3.986497;3.844959;3.795389;3.820168;3.762330;3.961888;3.872706;3.858150;3.930643;3.908618;3.902903;3.823942;3.761740;4.136217;3.891427;3.780424;3.854952;3.842460;3.807655;3.934860;3.943095;3.869534
10;3.784353;3.617295;3.821899;3.750631;3.803421;3.676768;3.683109;3.828408;3.569584;3.795863;3.802501;3.702274;3.711417;3.808776;3.918912;3.628042;3.714082;3.995097;3.806740;3.742263;3.820705;3.892821;3.633333;3.898274;3.765672;3.883986;3.612790;3.888743;3.929713;3.792888;3.715448;3.743226;3.687925;3.695899;3.668068;3.834694;4.091083;3.675674;3.864015;3.866452;3.921428;3.890922;3.993371;3.942432;3.691528;3.814509;3.827648;3.870216;3.857163;3.705082;3.792743
