Anzahl von MPI-Prozessen;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];
2;50.828264;51.667757;51.116951;57.111688;54.386675;51.577415;51.823454;51.107965;51.752234;52.217644;51.443676;51.928242;51.428238;52.183181;51.547295;51.911849;51.937880;51.599359;52.225246;51.800828;51.611666;51.179988;51.517221;52.606882;51.329477;52.014003;53.573797;51.676525;51.456235;51.919723;52.147450;51.578746;54.524751;51.832190;51.222709;51.612226;50.882486;51.625307;51.439435;51.944346;51.584387;51.662288;51.585196;51.508185;51.407523;51.366953;51.439020;50.965302;51.455587;53.408756;
3;39.339948;39.188650;39.250762;39.313083;39.717494;39.303709;38.851905;38.866947;39.361855;39.090317;39.152061;38.940987;39.814516;39.146292;39.225624;39.058226;38.994430;39.296132;38.994127;39.518490;39.349838;39.486849;39.188874;39.028849;39.564717;39.377154;39.014828;39.358756;39.421715;40.537858;39.338862;39.714719;39.665203;39.004086;39.117455;39.222622;39.188545;39.359010;39.285715;39.572069;38.951463;39.425345;39.332496;39.083069;39.461220;39.589708;39.035543;38.813911;39.818927;39.232483;
4;29.228748;29.263408;29.231447;29.170964;29.171263;29.246426;29.218749;29.235178;29.149848;29.312663;29.182225;29.411090;29.282194;32.277925;29.213464;29.411515;29.228613;29.267499;29.267796;29.081627;29.181384;29.204073;29.162920;29.278503;29.160127;29.137113;29.112120;29.322215;29.281305;29.252525;29.246542;29.147093;29.212037;29.209696;29.137149;29.200267;29.126083;29.287177;29.128824;29.313845;29.247677;29.416048;29.593462;29.321942;29.187927;29.236322;29.091322;29.169353;29.111081;29.231071;
5;29.257271;29.070719;26.863271;29.564699;27.206230;29.177518;28.358429;26.789759;28.882148;26.231452;28.309920;26.378704;28.237204;28.178175;25.721489;29.923395;26.193019;31.160449;29.801607;28.709348;26.225993;31.405486;25.506593;27.213136;27.483825;26.082225;25.433657;30.773234;26.915615;30.941671;25.641757;27.489602;25.713102;28.927924;26.601732;33.691267;28.745470;27.758837;28.522201;25.400209;30.095879;27.258816;27.054865;28.474955;29.591330;26.027696;28.635001;26.679883;26.997350;30.322816;
6;27.554210;28.298733;28.270438;28.466351;30.099967;26.640016;29.632305;26.489331;27.838033;29.336439;25.378796;29.678826;27.827489;28.170269;27.712963;28.507932;27.586892;29.222731;28.118003;27.909960;28.045877;26.090375;29.172179;27.728386;28.994566;27.897793;28.030044;32.073844;28.686268;26.853581;25.266268;28.864475;27.115658;30.029470;27.333239;28.294812;26.949282;31.562159;29.084252;27.930303;29.583680;27.653897;27.618197;27.645739;26.122570;27.797181;28.706095;27.149983;27.879021;26.913601;
7;27.317115;26.465314;26.859970;27.659419;27.406495;27.664824;27.180974;24.601573;26.559404;27.490545;26.214625;27.145313;26.633951;26.507364;28.386093;26.066199;27.790334;28.477153;26.918370;27.742673;26.810477;27.430167;27.030750;28.507797;28.022644;28.249221;27.739993;28.214386;28.696898;26.800847;27.054609;28.472542;29.466055;29.196256;27.962047;26.361877;29.261027;26.858617;30.413577;31.557790;27.479063;27.869951;26.374015;29.098275;27.858562;27.045739;28.629931;28.498844;26.750176;27.314639;
8;27.409363;27.502259;27.428400;27.426096;27.386523;27.542932;27.358740;27.494327;27.181453;28.155429;27.390675;27.477823;27.430327;27.472030;27.386707;27.430885;27.499121;27.448181;27.371522;27.078400;27.190203;27.539588;27.422612;27.730767;27.350558;30.090781;27.369300;27.622331;27.358027;27.520823;27.441381;29.882574;30.899558;27.254138;27.469211;27.153750;27.526457;27.372898;27.341512;27.410673;27.714134;27.407384;27.671009;27.410383;27.605372;27.490246;27.278618;27.587797;27.442874;27.454302;
9;31.090344;25.933818;25.347934;26.830224;27.026653;26.686738;26.565248;26.414306;28.218183;27.494338;28.230482;28.122579;26.814181;27.908403;26.946384;27.094761;26.674607;26.154643;28.131073;27.578072;26.946007;27.143240;30.005884;26.415952;28.814512;29.253870;26.307066;27.321713;26.161048;25.792794;27.046015;28.929177;29.453213;26.950524;27.890614;28.083485;27.694385;27.690785;27.646353;27.788060;26.954926;27.070322;26.398046;27.858053;26.842635;27.274158;26.618333;26.749801;30.082344;26.514098;
10;28.302921;29.397753;27.205986;26.362552;29.598347;27.518387;26.942514;26.418479;28.722369;27.970696;27.107180;29.878726;25.686331;26.686148;26.519928;27.670282;26.879969;28.338494;29.240619;28.346124;25.374771;26.214553;27.630328;26.681339;26.396703;26.501404;27.470460;28.030481;26.891028;27.489527;27.282591;26.292813;27.618504;26.149585;26.910495;29.042156;26.733176;27.158871;27.625408;27.082246;27.297837;27.817654;27.125761;26.729628;26.826303;26.366339;25.294309;26.847972;28.153973;27.112798;
12;27.502917;27.533909;27.514769;27.326582;27.846897;29.402364;27.305956;27.605363;27.482537;27.786880;27.398500;27.908803;27.186297;27.258139;27.406653;27.375191;27.286728;27.363823;27.371073;27.750212;27.529700;27.462964;27.693784;27.462552;27.250643;27.346611;27.254745;27.290730;27.630848;27.370543;27.306774;27.254759;27.270764;27.443768;27.441919;27.330451;27.366650;27.654426;27.726399;27.394704;26.910568;27.432123;27.208419;27.338229;27.454568;27.538580;26.958541;27.326790;30.504207;27.220098;
