Anzahl von OpenMP-Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
1;12.877578;12.710584;13.128145;13.149009;12.805311;13.169310;13.218076;13.180765;12.942209;13.284950;12.848978;13.059841;12.970887;12.997856;12.987999;12.790129;13.042791;13.086070;13.386788;13.104612;12.317265;12.395714;12.683768;12.835118;13.121051;12.902233;13.015985;13.681286;14.884499;14.548978;12.851140;13.056648;13.067255;13.092373;13.124164;13.417237;13.497467;13.237920;13.243463;13.223738;13.184496;13.344933;13.195520;12.848696;13.181719;12.968431;13.009122;12.812528;13.163154;13.403068;13.121017
2;9.617481;9.800986;9.782204;9.946716;10.023910;9.910213;9.850768;9.844277;9.544612;9.767930;9.789329;10.120436;9.700294;9.618103;9.779494;9.741262;9.914098;10.106199;9.779299;9.704183;9.755420;9.621496;10.019184;9.651298;9.962578;9.749129;9.950931;9.818725;9.780310;10.016039;11.042557;10.768418;11.066081;10.524398;10.037193;10.011847;9.889841;9.987714;9.807582;9.868720;9.825762;9.919449;9.974720;10.082470;9.760490;9.885287;9.795680;10.037571;9.990840;9.573031;9.930331
3;7.287224;7.619404;7.170004;7.520326;7.445444;7.155143;7.525803;7.394469;7.373499;7.234717;7.218504;7.424635;7.259814;7.454300;7.385174;7.510257;7.263299;7.358518;7.529735;7.354162;7.528876;7.078910;7.305114;7.319945;7.494333;7.464641;7.229066;7.320057;7.329684;7.421399;7.244597;7.450636;7.479630;7.168842;7.285514;7.441625;7.487568;7.451300;7.251172;7.531106;7.516172;7.424636;7.331178;7.098321;7.363731;7.181732;7.069436;7.469697;7.065765;7.131515;7.348413
4;5.902930;6.007723;5.752374;5.922484;6.141079;5.984979;5.912932;5.782398;5.924250;5.750033;5.685293;5.734079;5.798699;5.812555;5.860787;5.850842;5.998251;6.028460;5.766588;5.876259;5.779199;5.832351;5.678041;5.850186;5.929369;6.167937;6.126615;5.787356;5.864429;5.919027;5.902479;5.703762;5.742247;5.912405;5.897512;5.993227;6.280123;6.436171;6.327400;6.211079;6.265783;6.802468;5.718806;5.912662;5.679526;6.098482;5.883399;5.754945;5.695052;5.866560;5.930232
5;5.017840;4.809746;4.995666;4.994193;5.069837;4.872238;4.824381;4.893374;4.734535;4.866614;5.184830;4.961004;4.958666;5.000689;5.095189;4.828996;5.013353;4.966113;4.875348;4.850287;4.787117;4.797994;5.015877;4.921821;4.999190;4.998806;4.774783;4.810957;4.785421;5.177610;4.783907;4.946124;4.840365;4.906235;4.839818;5.009597;5.223773;5.042100;4.794679;4.930811;5.052264;4.866566;4.749465;4.829286;5.051532;4.894164;4.811377;4.971261;4.962985;4.964524;4.927066
6;4.601348;4.430535;4.398566;4.482187;4.280519;4.353839;4.414787;4.514872;4.262696;4.244837;4.409285;4.827415;4.447183;4.256767;4.223175;4.466086;4.464650;4.358846;4.961441;5.256530;4.920690;4.473701;4.360885;4.454950;4.407451;4.337987;4.465212;4.478943;4.531563;4.382728;4.579022;4.444876;4.349860;4.333012;4.635332;4.335000;4.776095;4.576392;4.596427;4.379699;4.493240;4.430461;4.301872;4.517714;4.270996;4.277520;4.586292;4.442233;4.502207;4.282366;4.471606
7;4.339101;4.226363;4.188789;3.834225;4.353352;4.049805;4.016381;4.240851;4.088182;4.116461;4.409049;4.192767;4.138236;4.115959;4.020082;4.177100;3.952467;4.188339;4.114453;4.211498;4.160140;3.914294;4.180577;4.088346;4.116647;4.278826;4.259767;4.067958;4.382931;4.199647;3.909651;3.943847;4.176274;4.133837;4.084684;3.908685;3.984361;4.602095;4.254513;4.274549;4.079758;4.103521;4.280222;4.170656;4.067469;3.882654;4.024576;4.298255;4.172764;4.020860;4.139916
8;4.106491;4.103497;4.149820;3.849646;3.807561;4.059791;3.932000;3.808027;3.697480;3.785778;3.953784;3.945677;4.048407;3.976298;4.096586;4.124139;3.749536;3.959187;3.992813;3.836202;3.840215;3.883960;3.695738;3.986001;4.080834;3.959849;3.985237;4.137829;4.153259;4.149870;4.062024;3.961281;3.987358;3.940481;3.977577;3.761121;3.924079;4.019979;4.014629;3.899066;3.925813;4.007972;3.918138;4.045933;3.965170;4.036462;3.884773;3.741041;3.960770;4.035183;3.958487
9;4.035780;3.953905;3.693494;3.649858;4.097871;4.141506;3.741851;3.882400;4.021347;4.047527;3.719208;3.784079;3.975904;3.808239;3.974594;3.755011;3.906383;3.938533;3.893246;3.931592;3.978612;3.894044;3.960313;3.875531;3.873889;3.830805;3.857902;3.935223;3.892975;3.756898;3.656494;3.955740;3.849910;3.925185;3.851369;3.765940;3.865483;3.666496;3.837651;4.043662;3.947675;3.866651;3.682774;3.960309;3.824951;3.837739;3.838727;4.091534;3.925211;3.863400;3.881308
10;3.813267;3.742828;3.782691;3.617003;3.956903;3.775604;3.801526;3.731060;3.861033;3.665754;3.794252;3.758898;3.899986;3.891953;3.782797;3.708735;3.831220;3.671497;3.719770;3.797772;3.724190;3.670196;3.771907;3.988183;3.775549;3.779228;3.772002;3.722418;3.620292;3.780013;3.732404;3.906403;3.806658;3.887436;3.929874;3.699638;3.839694;3.780739;3.844413;3.740296;3.673322;3.828422;3.729321;3.666229;3.879609;3.965842;3.796514;3.756495;3.725038;3.528999;3.778517
12;3.781233;3.656209;3.813087;3.716935;3.686996;3.630519;3.579407;3.589015;3.738152;3.760908;3.509672;3.789459;3.714996;3.707212;3.826162;3.668001;3.794549;3.696810;3.756585;3.574125;3.609884;3.679062;3.757980;3.416121;3.698770;3.717308;3.532474;3.527380;3.672769;3.656351;3.685548;3.812512;3.740959;3.736686;3.603341;3.873100;3.721667;3.521608;3.732575;3.774992;3.779070;3.715395;3.607709;3.460145;3.704805;3.624740;3.678176;3.611200;3.616403;3.591882;3.677013
14;3.560945;3.646772;3.580655;3.552790;3.581204;3.645880;3.559659;3.656749;3.595305;3.618305;3.622260;3.639801;3.631480;3.387523;3.707530;3.521579;3.413032;3.600306;3.691873;3.469125;3.640316;3.938058;4.093345;4.456358;4.562691;4.083476;3.554876;3.511206;3.645127;3.572983;3.576691;3.726103;3.519289;3.596642;3.518864;3.758825;3.610977;3.581237;3.653809;3.646621;3.662529;3.644542;3.561475;3.643575;3.585294;3.528173;3.427554;3.666194;3.621287;3.521048;3.655839
