Anzahl von Threads;1. Berechnung [s];2. Berechnung [s];3. Berechnung [s];4. Berechnung [s];5. Berechnung [s];6. Berechnung [s];7. Berechnung [s];8. Berechnung [s];9. Berechnung [s];10. Berechnung [s];11. Berechnung [s];12. Berechnung [s];13. Berechnung [s];14. Berechnung [s];15. Berechnung [s];16. Berechnung [s];17. Berechnung [s];18. Berechnung [s];19. Berechnung [s];20. Berechnung [s];21. Berechnung [s];22. Berechnung [s];23. Berechnung [s];24. Berechnung [s];25. Berechnung [s];26. Berechnung [s];27. Berechnung [s];28. Berechnung [s];29. Berechnung [s];30. Berechnung [s];31. Berechnung [s];32. Berechnung [s];33. Berechnung [s];34. Berechnung [s];35. Berechnung [s];36. Berechnung [s];37. Berechnung [s];38. Berechnung [s];39. Berechnung [s];40. Berechnung [s];41. Berechnung [s];42. Berechnung [s];43. Berechnung [s];44. Berechnung [s];45. Berechnung [s];46. Berechnung [s];47. Berechnung [s];48. Berechnung [s];49. Berechnung [s];50. Berechnung [s];Durchschnittswert [s]
1;15.662021;15.506648;15.708221;15.260942;15.721828;15.751932;15.362073;15.828979;15.836384;15.366044;15.848114;15.656639;15.488680;15.457476;15.348788;16.090467;15.599014;15.569822;15.503053;15.486893;15.290525;15.434946;15.383989;15.762063;15.734149;15.152335;15.823999;15.448015;15.812461;15.797495;15.433437;14.914831;15.483272;15.722922;15.495448;15.453009;15.355932;15.764896;15.672974;15.635233;15.732460;15.768998;15.574328;15.667674;15.463653;15.754947;15.724810;15.601904;15.803553;16.591266;15.606191
2;13.521904;13.013846;12.985514;11.788401;11.875631;11.890128;11.815025;11.520183;11.896011;11.737105;11.630904;11.672514;12.053517;12.132428;11.815857;11.665487;11.758871;11.616235;11.802204;11.697257;11.855217;12.016997;11.846190;11.975546;11.771978;11.569956;11.578811;11.615467;11.938330;11.978998;12.032742;11.777602;11.751643;12.041288;11.561657;11.966957;11.633293;11.744217;11.771190;11.989381;11.468573;11.436393;12.009710;11.999372;11.574982;11.791774;11.894142;11.993184;11.757465;11.743509;11.879512
3;8.857337;8.666890;8.866758;8.738725;8.634818;8.945605;8.698962;8.911710;8.950590;8.648361;8.934736;8.946450;9.038554;8.944148;8.744383;8.928414;8.693452;8.726659;8.875664;8.865156;8.537832;8.723616;8.916747;8.947283;9.012994;8.690337;8.918829;8.758214;8.803904;8.725004;8.830648;9.075632;8.699182;8.743101;8.741345;8.875824;8.723516;8.754650;8.890862;8.903526;8.972298;8.804289;8.835332;8.750701;8.982582;8.747399;8.599084;8.748364;8.799518;8.617117;8.814942
4;7.129097;7.045386;6.940647;7.102711;7.265735;6.940701;7.159423;6.912427;6.853033;6.962640;7.059943;6.983608;6.972031;7.108022;7.107583;7.229906;6.956641;6.993084;7.058779;7.046136;7.104184;7.164502;7.739410;7.594654;7.620414;7.515721;7.681507;7.639904;7.629055;7.082400;6.988943;6.997620;7.109307;7.168234;6.994278;7.053877;7.061691;6.933188;7.121157;7.046614;7.152032;6.902005;7.156737;6.915090;7.178188;7.088939;7.085007;6.939255;6.861563;7.093441;7.128929
5;6.071885;6.236595;6.142500;5.848465;5.951459;6.000926;5.848635;6.173812;6.279705;6.031383;5.946875;6.028948;5.948209;6.072766;6.149348;6.025193;6.046196;5.939553;6.082848;6.079610;5.983984;6.097911;6.205873;5.817066;6.074158;5.920950;5.991099;6.097121;6.075049;6.063712;5.976724;5.924859;6.011528;6.126318;6.066243;5.968306;5.875382;6.038490;5.867012;5.860931;6.058414;6.107519;6.001506;6.012900;6.054223;5.906019;5.894280;6.185193;5.882118;5.935145;6.019699
6;5.364137;5.569934;5.423963;5.451286;5.512960;5.523861;5.341426;5.394027;5.246041;5.431842;5.309317;5.536818;5.618701;5.197212;5.329506;5.420835;5.427441;5.599880;5.192299;5.268803;5.267192;5.269262;5.376351;5.330258;5.669790;5.173677;5.148491;5.393162;5.244512;5.180747;5.196896;5.563299;5.101785;5.270369;5.259513;5.303068;5.300224;5.331395;5.267056;5.335081;5.233149;5.474168;5.053449;5.347820;5.135767;5.578303;5.282523;5.267430;5.335870;5.195801;5.340934
7;5.172752;5.128049;5.149618;5.021727;5.286353;4.895819;4.959097;5.065103;5.107717;5.173350;5.091849;5.165701;4.943558;5.339138;5.243113;5.099810;4.861314;4.984437;5.258361;5.299989;5.130508;5.049635;5.135131;5.051476;5.158468;4.932510;5.090172;4.920343;4.945467;5.086345;5.271415;5.293080;5.174998;5.117502;5.152043;5.015759;5.089201;5.013173;5.269203;5.356500;4.847774;5.102829;4.977168;5.170917;5.101940;5.189262;5.153695;4.924448;5.013786;5.328471;5.106201
8;4.729847;4.905749;4.921122;4.662835;4.906092;4.874349;5.040594;4.991259;4.815531;4.998812;4.650913;4.738455;4.698007;4.864869;4.760100;4.787420;4.878634;4.632062;5.051289;5.007069;5.077193;5.048613;4.781963;4.721886;5.005279;4.871206;4.888103;4.814647;5.117752;4.692453;4.671151;4.824921;4.821982;4.677400;4.808237;5.635908;5.923852;5.691885;5.186875;4.973313;5.039516;5.006570;4.905001;4.721103;4.697060;4.620353;4.453923;4.879733;4.705286;4.794543;4.899454
9;4.725667;4.810436;4.738002;4.759238;4.685040;4.636411;4.800089;4.731580;4.622401;4.567385;4.639553;4.543186;4.830372;4.697676;4.540830;4.847885;4.489819;4.814845;4.669335;4.792040;4.695460;4.530677;4.701290;4.758914;4.772174;4.687552;4.686054;4.737403;4.818061;4.828712;4.553323;4.724612;4.803541;4.631546;4.773256;4.739159;4.783088;4.605518;4.753035;4.805130;4.647173;4.566018;4.641523;4.727039;4.640015;4.765924;4.617028;4.542666;4.665848;4.821532;4.699301
10;4.466991;4.589174;4.734385;4.455678;4.587541;4.389811;4.473751;4.657919;4.679675;4.466454;4.445308;4.593699;4.613015;4.382265;4.586384;4.572394;4.623772;4.520353;4.528908;4.376941;4.464294;4.757240;4.745099;4.768715;4.692130;4.827245;4.665312;4.614429;4.571320;4.375483;4.660754;4.879855;4.739475;4.565931;4.498655;4.457272;4.500378;4.477425;4.519335;4.664382;4.727563;4.514498;4.650219;4.603587;4.581685;4.528286;4.445630;4.517518;4.578859;4.528162;4.577303
